target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_3,1,3,191.37238232726543,0.20297768712043762
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_4,5,4,148.90387300108978,0.07501067221164703
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_13,4,13,153.425165283539,0.11418689787387848
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_1,5,1,150.6200705362682,0.08435247838497162
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_9,4,9,152.65377836688208,0.09716123342514038
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_5,5,5,148.08726109028748,0.07446235418319702
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_1,3,1,162.5181783203829,0.12540483474731445
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_12,2,12,168.938961835825,0.1737593412399292
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_4,2,4,167.1766385468827,0.18133941292762756
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_15,5,15,149.46728751046192,0.07925625145435333
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_11,1,11,191.6514084446198,0.2162947952747345
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_8,5,8,149.40605574119178,0.07260442525148392
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_3,2,3,167.27896421981217,0.17939844727516174
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_6,2,6,169.78388002651502,0.16122686862945557
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_12,4,12,153.88866471759184,0.09376541525125504
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_11,4,11,152.24982166432392,0.10203221440315247
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_7,3,7,159.91269021267766,0.12494276463985443
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_2,4,2,156.41737289809748,0.11227212846279144
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_8,4,8,152.60776590444686,0.10614752024412155
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_14,3,14,157.59298097056143,0.13644340634346008
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_1,4,1,154.5442733527396,0.10295099765062332
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_3,4,3,156.8443404951708,0.09042391180992126
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_11,2,11,170.45324486312182,0.14708861708641052
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_15,4,15,155.52754167671316,0.10640241950750351
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_9,2,9,170.3304978958946,0.1707736849784851
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_1,2,1,169.84758465762513,0.20615509152412415
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_8,3,8,159.62848561439836,0.11882547289133072
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_9,3,9,159.17645973811176,0.125255286693573
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_14,5,14,148.52668801927842,0.07680931687355042
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_11,5,11,149.09705264518072,0.07717856764793396
